  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        4.633896        0.270406      -13.390130       14.171863        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -4.633896       -0.270406       -6.609870        5.828137       -5.591896        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000       -0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -4.635536       -0.270502       -6.611319        5.831089       -5.591896        0.000000        0.000000        0.000000
     7     21         -4        5        0        0        0.000021        0.000001        1.256554        1.256554        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -4.635536       -0.270502       -6.611319        5.831089       -5.591896        0.000000        0.000000        0.000000
     9     21         -4        7        0        0        0.000021        0.000001        1.256554        1.256554        0.000000        0.000000        0.000000        0.000000
    10     21         -4        9        0        0       -4.635515       -0.270501       -5.354765        7.087643        0.000000        0.000000        0.000000        0.000000
    11     11       4122        5       18       20        0.184400        0.493871       69.751061       69.790466        2.284900        0.000000        0.000000        0.000000
    12      1         11        3        0        0        4.633896        0.270406      -13.390130       14.171863        0.000510        0.000000        0.000000        0.000000
    13     12          2        5       21       21        0.074407       -0.297210       28.270027       28.273613        0.330000        0.000000        0.000000        0.000000
    14     12         21       10       21       21       -0.137681       -0.149480        0.289879        0.354020        0.000000        0.000000        0.000000        0.000000
    15     12         21       10       21       21       -0.084124       -0.441055        0.099684        0.459938        0.000000        0.000000        0.000000        0.000000
    16     12         21       10       21       21       -1.869815       -0.513131       -2.091855        2.852257        0.000000        0.000000        0.000000        0.000000
    17     11         -4       10       21       21       -2.801083        0.636599       -2.928666        4.102244        0.000000        0.000000        0.000000        0.000000
    18      1        211       11        0        0        0.241337        0.281870       19.212349       19.216439        0.139570        0.000433        0.001158        0.163599
    19      1       2112       11        0        0       -0.078971        0.231408       14.786007       14.817847        0.939570        0.000433        0.001158        0.163599
    20     11       -311       11       30       30        0.022034       -0.019407       35.752705       35.756180        0.497670        0.000433        0.001158        0.163599
    21     11         92       13       22       29       -4.818296       -0.764277       23.639070       36.042073       26.766122        0.000000        0.000000        0.000000
    22     11        213       21       31       32       -0.501693        0.047491       11.094504       11.153140        1.024970        0.000000        0.000000        0.000000
    23     11        223       21       33       35        0.449083       -0.414020       13.061042       13.098794        0.783902        0.000000        0.000000        0.000000
    24     11        311       21       36       36        0.057873       -0.001813        0.023555        0.501580        0.497670        0.000000        0.000000        0.000000
    25     11        221       21       37       38        0.147397       -0.528337        2.220739        2.352073        0.547450        0.000000        0.000000        0.000000
    26     11       -311       21       39       39       -0.743240       -0.127221        0.705561        1.146334        0.497670        0.000000        0.000000        0.000000
    27     11       -213       21       40       41       -0.098572        0.254250        0.687886        1.289364        1.055894        0.000000        0.000000        0.000000
    28     11        113       21       42       43       -0.644010       -0.008427       -0.914914        1.336846        0.731622        0.000000        0.000000        0.000000
    29     11       -423       21       44       45       -3.485134        0.013801       -3.239303        5.163940        2.006700        0.000000        0.000000        0.000000
    30     11        310       20       46       47        0.022034       -0.019407       35.752705       35.756180        0.497670        0.000433        0.001158        0.163599
    31      1        211       22        0        0        0.078906        0.314986        1.722390        1.758280        0.139570        0.000000        0.000000        0.000000
    32     11        111       22       48       49       -0.580599       -0.267495        9.372115        9.394860        0.134980        0.000000        0.000000        0.000000
    33      1        211       23        0        0        0.298843       -0.288745        3.980062        4.004130        0.139570        0.000000        0.000000        0.000000
    34      1       -211       23        0        0       -0.116110       -0.068058        3.287926        3.293638        0.139570        0.000000        0.000000        0.000000
    35     11        111       23       50       51        0.266350       -0.057218        5.793054        5.801027        0.134980        0.000000        0.000000        0.000000
